Organism	Uniprot	Protein name	Secretion	CAZy	Enzyme type	Substrate details	H2O2 type	MEROPS	Bagasse1	Bagasse2	Bagasse3	Birch1	Birch2	Birch3	Spruce1	Spruce2	Spruce3	Cellulose1	Cellulose2	Cellulose3	Glucose1	Glucose2	Glucose3	Peptides	Unique peptides	Score	MS/MS count	Majority protein IDs	EC	GO
m.thermophila	G2Q7Q5	Actin-like protein	N						0.71	0.58	0.79	-0.81	0.53	-0.37							0.66	0.72	0.11	13	13	62.629	113	tr|G2Q7Q5|G2Q7Q5_MYCTT		
m.thermophila	G2Q7V1	Transketolase	N						-0.01	-0.31	-0.15	-1.17	-0.21	-1.05										10	10	85.081	66	tr|G2Q7V1|G2Q7V1_MYCTT	EC 2.2.1.1	metabolic process [GO:0008152]
m.thermophila	G2Q7Z2	Uncharacterized protein	N						-0.70	-1.03	-0.43		-0.27											5	5	26.717	27	tr|G2Q7Z2|G2Q7Z2_MYCTT		translation [GO:0006412]
m.thermophila	G2Q8B8	Uncharacterized protein	N						0.28	0.01	-0.02	-1.40	0.07	-0.91							1.15	1.12	0.78	10	10	47.167	70	tr|G2Q8B8|G2Q8B8_MYCTT		
m.thermophila	G2Q8I8	Uncharacterized protein	Y							-2.14		-1.46	-1.73	-1.37										2	2	15.541	24	tr|G2Q8I8|G2Q8I8_MYCTT		lipid metabolic process [GO:0006629]
m.thermophila	G2Q8M4	Uncharacterized protein	Y						-0.34	-0.32	0.28	-0.71	0.08	-0.74							0.12	0.48	0.42	5	5	28.679	37	tr|G2Q8M4|G2Q8M4_MYCTT		
m.thermophila	G2Q8N2	Uncharacterized protein	N									-0.94	0.29	-0.62										3	3	184.62	18	tr|G2Q8N2|G2Q8N2_MYCTT		translational elongation [GO:0006414]
m.thermophila	G2Q8R8	Pectin lyase-like protein	Y							-2.69	-3.80	-3.02	-2.97	-3.34										2	2	16.274	33	tr|G2Q8R8|G2Q8R8_MYCTT	EC 4.2.2.10	
m.thermophila	G2Q8U9	Nucleoside diphosphate kinase	N						0.35	0.01	-0.07	-0.20	0.66	-0.20							2.26	1.63	1.62	5	5	119.85	120	tr|G2Q8U9|G2Q8U9_MYCTT	EC 2.7.4.6	CDP phosphorylation [GO:0061508]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
m.thermophila	G2Q8V1	Uncharacterized protein	Y							-1.66								-0.70	-0.47	-1.24	0.51	0.28	-0.44	7	7	31.733	65	tr|G2Q8V1|G2Q8V1_MYCTT		
m.thermophila	G2Q8Y3	Intradiol ring-cleavage dioxygenase-like protein	Y						-0.15	0.14														5	5	27.34	9	tr|G2Q8Y3|G2Q8Y3_MYCTT		
n.crassa	Q7S3P8	Beta-xylanase	Y	GH10	GH	xylan			-0.25	-0.95	-0.68	-1.30	-1.93	-1.79										3	3	287.56	43	tr|Q7S3P8|Q7S3P8_NEUCR	EC 3.2.1.8	xylan catabolic process [GO:0045493]
p.chrysosporium	2762168410	endo-1,4-beta xylanase	Y	GH10	GH	xylan			0.47	0.94	1.04	2.12	1.99	1.05		-1.03	-2.21							9	9	323.31	254	2762168410		carbohydrate metabolic process
p.chrysosporium	2762170403	Glycoside hydrolase	Y	GH10	GH	xylan			-1.48	-1.17	-1.62	-2.01				-0.79	-1.22							5	5	43.208	55	2762170403		carbohydrate metabolic process
m.thermophila	G2Q925	Serine protease	Y					SB-S8	1.41	2.54	1.46	2.59	1.95	2.42	0.98	0.54	1.51	0.51	1.56	1.48	2.85	3.92	2.97	7	7	323.31	242	tr|G2Q925|G2Q925_MYCTT		
m.thermophila	G2Q974	40S ribosomal protein S1	N						-0.94		-1.37		-0.93	-1.72										7	7	14.457	28	tr|G2Q974|G2Q974_MYCTT		translation [GO:0006412]
p.chrysosporium	2762166659	Glycoside Hydrolase Family 10 protein	Y	GH10;CBM1	GH	xylan			-1.52	-2.13			-2.52			0.87	-0.53							7	5	194.82	66	2762166659		carbohydrate metabolic process
m.thermophila	G2Q9C3	Nucleosome assembly protein-like protein	N						-0.50	-1.17			-1.47											4	4	17.19	11	tr|G2Q9C3|G2Q9C3_MYCTT		budding cell bud growth [GO:0007117]; nucleosome assembly [GO:0006334]; nucleosome disassembly [GO:0006337]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein import into nucleus [GO:0006606]
m.thermophila	G2Q9D2	Uncharacterized protein	N										-3.05	-4.13										4	4	13.276	8	tr|G2Q9D2|G2Q9D2_MYCTT		
p.chrysosporium	2762169496	Glycoside Hydrolase Family 10 protein	Y	GH10;CBM1	GH	xylan			6.80	6.72	6.26	5.76	5.24	3.29	0.16	6.30	5.36							14	11	323.31	1766	2762169496		carbohydrate metabolic process
m.thermophila	G2Q9P8	Peptidase-like protein	Y															-1.54	-2.02	-2.08				6	6	66.675	19	tr|G2Q9P8|G2Q9P8_MYCTT		
m.thermophila	G2Q9T6	Fumarate reductase/succinate dehydrogenase flavo protein-like protein	Y									-2.16	-2.41											2	2	14.531	17	tr|G2Q9T6|G2Q9T6_MYCTT		
p.chrysosporium	2762162050	Six-hairpin glycosidase	Y	GH105	GH				-2.09	-2.03	-1.97					-1.60	-1.47							5	5	111.96	41	2762162050		
m.thermophila	G2QA29	Uncharacterized protein	Y															-2.83	-1.84	-1.98				2	2	46.617	38	tr|G2QA29|G2QA29_MYCTT		
m.thermophila	G2QN15	NADP:D-xylose dehydrogenase	N	GH109	GH				-2.03				-1.65	-2.47										5	5	7.9844	13	tr|G2QN15|G2QN15_MYCTT		
a.terreus	Q0CFS3	Probable endo-1,4-beta-xylanase A (Xylanase A)	Y	GH11	GH	xylan			3.54	1.85	3.97		3.12	3.24	4.08	2.33	2.19	4.39	3.87	3.48				3	3	323.31	343	sp|Q0CFS3|XYNA_ASPTN	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QAA5	Uncharacterized protein	N						-0.91	-1.36	-0.94		-1.64											8	8	20.779	25	tr|G2QAA5|G2QAA5_MYCTT		translation [GO:0006412]
h.jecorina	G0R947	Endo-1,4-beta-xylanase 1	Y	GH11	GH	xylan							-1.63					4.05	2.37	2.37				2	2	323.31	86	sp|G0R947|XYN1_HYPJQ	EC 3.2.1.8	xylan catabolic process [GO:0045493]
h.jecorina	G0RUP7	Endo-1,4-beta-xylanase 2	Y	GH11	GH	xylan			5.57	5.38	5.27	3.20	4.73	4.82	1.46	3.48	3.56							3	3	323.31	176	sp|G0RUP7|XYN2_HYPJQ	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2Q4S6	Endo-1,4-beta-xylanase	Y	GH11	GH	xylan			6.12	6.30	4.82	5.28	4.71	4.90	1.54	1.27	1.16	0.84	0.97	0.49				4	4	126.45	361	tr|G2Q4S6|G2Q4S6_MYCTT	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QDB9	Endo-1,4-beta-xylanase	Y	GH11	GH	xylan			1.04	1.06	0.40	0.64	0.17	0.41										4	3	61.492	52	tr|G2QDB9|G2QDB9_MYCTT	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QIR4	Endo-1,4-beta-xylanase	N	GH11	GH	xylan			2.80	3.02	2.15	2.66	1.81	2.06										2	2	17.787	99	tr|G2QIR4|G2QIR4_MYCTT	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QAN5	Uncharacterized protein	N						1.17	0.70	1.42	0.44	1.08	0.61										20	20	96.004	108	tr|G2QAN5|G2QAN5_MYCTT		protein folding [GO:0006457]; response to stress [GO:0006950]
m.thermophila	G2QAN6	Peptidylprolyl isomerase	N						-0.61	-1.57	-1.27	-1.45	-1.31	-1.58							-0.50	-0.14	-0.28	6	6	41.599	40	tr|G2QAN6|G2QAN6_MYCTT	EC 5.2.1.8	
m.thermophila	G2QAP6	Uncharacterized protein	N						0.84	-0.84	0.61	-0.74	-0.04											6	6	152.83	25	tr|G2QAP6|G2QAP6_MYCTT		
m.thermophila	G2QAX0	Nitroreductase-like protein	N						-0.20	-0.74	0.73	-0.07	-0.97	-0.78										8	8	84.981	48	tr|G2QAX0|G2QAX0_MYCTT		cellular response to oxidative stress [GO:0034599]
m.thermophila	G2QAY2	Uncharacterized protein	N									-1.30	0.04	-0.74										4	4	7.4792	9	tr|G2QAY2|G2QAY2_MYCTT		translation [GO:0006412]
m.thermophila	G2QAZ1	Uncharacterized protein	N						-1.44	-1.53	-0.77	-1.97	-1.03	-2.19								-0.62		11	11	47.433	38	tr|G2QAZ1|G2QAZ1_MYCTT		
m.thermophila	G2QB59	Uncharacterized protein	N						-1.58	-2.18	-1.69													3	3	29.774	12	tr|G2QB59|G2QB59_MYCTT		
m.thermophila	G2QB71	Formate dehydrogenase	N						0.29	-0.35	-0.20	-0.73	-0.04	-1.52										11	11	26.999	36	tr|G2QB71|G2QB71_MYCTT	EC 1.17.1.9	formate catabolic process [GO:0042183]
m.thermophila	G2QB77	Uncharacterized protein	N						-1.74	-2.57														2	2	5.9695	11	tr|G2QB77|G2QB77_MYCTT		translation [GO:0006412]
m.thermophila	G2QBH1	Ran-specific GTPase-activating protein 1-like protein	N						-2.72	-2.80	-2.26	-2.80	-2.25	-2.95										4	4	15.059	19	tr|G2QBH1|G2QBH1_MYCTT		intracellular transport [GO:0046907]
m.thermophila	G2QBJ2	Uncharacterized protein	N						0.64	-0.07	0.03	-0.36	0.52	0.26							0.27	-0.74	0.69	9	9	47.421	68	tr|G2QBJ2|G2QBJ2_MYCTT		ribosomal small subunit export from nucleus [GO:0000056]; rRNA export from nucleus [GO:0006407]; translation [GO:0006412]
m.thermophila	G2QBM5	Uncharacterized protein	N																		-0.45	-0.24	-1.12	3	3	7.7788	9	tr|G2QBM5|G2QBM5_MYCTT		transport [GO:0006810]
m.thermophila	G2QBS2	Ribosomal protein	N						-1.44	-1.77	-1.74		-1.13									-0.72		3	3	4.7898	12	tr|G2QBS2|G2QBS2_MYCTT		translation [GO:0006412]
m.thermophila	G2QBS7	Uncharacterized protein	Y																		6.09	5.53	5.52	4	4	323.31	266	tr|G2QBS7|G2QBS7_MYCTT		
m.thermophila	G2QNI1	Endo-1,4-beta-xylanase	Y	GH11	GH	xylan			-0.33	-0.25	-0.38	-0.77	-1.76	-0.84										5	5	15.552	25	tr|G2QNI1|G2QNI1_MYCTT	EC 3.2.1.8	xylan catabolic process [GO:0045493]
n.crassa	Q1K5S8	Endo-1,4-beta-xylanase	Y	GH11;CBM1	GH	xylan					0.35	0.51	0.73	0.80										3	3	323.31	33	tr|Q1K5S8|Q1K5S8_NEUCR	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QBV2	Uncharacterized protein	N										-2.23	-2.78										3	3	6.8425	8	tr|G2QBV2|G2QBV2_MYCTT		
m.thermophila	G2QBW8	Uncharacterized protein	N						-0.03	-1.29	0.93			0.45										9	9	39.321	21	tr|G2QBW8|G2QBW8_MYCTT		methionine biosynthetic process [GO:0009086]
m.thermophila	G2QBY3	60S ribosomal protein L2-like protein	N						-0.90	-1.50	-1.09	-3.51	-1.50									-1.07		6	6	42.198	32	tr|G2QBY3|G2QBY3_MYCTT		translation [GO:0006412]
m.thermophila	G2QBZ2	Uncharacterized protein	Y															-2.45		-3.35				6	6	24.153	21	tr|G2QBZ2|G2QBZ2_MYCTT		
m.thermophila	G2QC28	Uncharacterized protein	Y																		-0.92	-0.51	-0.89	2	2	30.843	10	tr|G2QC28|G2QC28_MYCTT		
m.thermophila	G2QQH4	Histone H4	N						-0.76	-0.62	-0.18	-1.42	-0.38	-1.50										6	6	14.783	37	tr|G2QQH4|G2QQH4_MYCTT;tr|G2QC80|G2QC80_MYCTT		nucleosome assembly [GO:0006334]
m.thermophila	G2QCB6	Uncharacterized protein	Y					GA-G1													0.89	0.19	0.60	3	3	99.724	9	tr|G2QCB6|G2QCB6_MYCTT		
m.thermophila	G2QJQ4	Glycoside hydrolase family 115 protein	Y	GH115	GH				-0.62	-1.04	-0.34	-0.44	0.51	-0.12										14	14	76.1	53	tr|G2QJQ4|G2QJQ4_MYCTT		
p.chrysosporium	2762167584	Glycoside Hydrolase Family 115 protein	Y	GH115	GH				0.18	-0.41	-0.90		-1.93			0.69	0.09							25	25	156.3	143	2762167584		
a.terreus	Q0CRC9	Probable xyloglucan-specific endo-beta-1,4-glucanase A	Y	GH12	GH	cellulose				-0.93								-0.79	-0.93	-1.18				2	2	59.547	60	sp|Q0CRC9|XGEA_ASPTN	EC 3.2.1.151	cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]
a.terreus	Q0C8U0	Endoglucanase I	Y	GH12	GH	cellulose			-0.65	-2.68	-0.58				-0.62	-2.96				-1.39				4	4	8.9412	25	tr|Q0C8U0|Q0C8U0_ASPTN		polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QCK0	Phospholipase C-like protein	Y						-1.37	-1.13	-2.03							-1.27	-1.62					11	11	58.37	39	tr|G2QCK0|G2QCK0_MYCTT		lipid metabolic process [GO:0006629]
m.thermophila	G2QCK1	Glycoside hydrolase family 17 protein	Y						-0.39	-0.29	-0.14	0.14	-0.15	-0.31	-1.97	-2.28	-2.27	0.27	0.45	0.17				9	9	64.828	148	tr|G2QCK1|G2QCK1_MYCTT		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CFW4	Endoglucanase I	Y	GH12	GH	cellulose			2.50	3.38	2.39	0.14	1.79	1.85	2.64	2.84	2.28	5.60	5.93	5.53	1.61	1.28		7	7	323.31	666	tr|Q0CFW4|Q0CFW4_ASPTN		polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QCN5	Uncharacterized protein	N									-1.71	-1.21	-1.91										5	5	35.66	14	tr|G2QCN5|G2QCN5_MYCTT		translation [GO:0006412]
m.thermophila	G2QCN9	Uncharacterized protein	N						-0.53	-0.96	-0.61	-1.27	-0.38	-1.04										5	5	70.746	50	tr|G2QCN9|G2QCN9_MYCTT		translation [GO:0006412]
a.terreus	Q0CLB5	Endoglucanase A	Y	GH12	GH	cellulose												-1.42			0.93	0.70		4	4	144.35	22	tr|Q0CLB5|Q0CLB5_ASPTN		polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QCW2	Uncharacterized protein	N							-2.73	-2.17	-2.99												3	3	11.041	32	tr|G2QCW2|G2QCW2_MYCTT		translation [GO:0006412]
m.thermophila	G2QCX2	Uncharacterized protein	N																		0.22	0.25	-0.10	5	5	40.711	24	tr|G2QCX2|G2QCX2_MYCTT		
m.thermophila	G2QD13	Uncharacterized protein	Y						-0.40	-0.19	-0.92	-0.91				-2.20	-2.35	-0.89	-0.63	-0.25				6	6	131.41	94	tr|G2QD13|G2QD13_MYCTT		
h.jecorina	G0RRG8	Glycoside hydrolase family 12	Y	GH12	GH	cellulose					-1.99				-2.41	-1.87	-1.50	0.32	-0.40	0.35				4	4	143.87	67	tr|G0RRG8|G0RRG8_HYPJQ		polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QKQ0	Glycoside hydrolase family 12 protein	Y	GH12	GH	cellulose			3.19	3.59	2.50	1.49	1.09	1.29	-1.26	-1.17	-1.65	-1.41	-2.20					4	4	15.988	83	tr|G2QKQ0|G2QKQ0_MYCTT		polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QD81	Malate dehydrogenase	N						0.44	0.46	1.07	-0.32	1.07	0.14										17	17	233.41	92	tr|G2QD81|G2QD81_MYCTT	EC 1.1.1.37	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]
p.chrysosporium	2762169492	concanavalin A-like lectin/glucanase	Y	GH12	GH	cellulose			1.32	1.76	1.42	0.19	-0.13			2.84	2.72	2.61	2.26					2	2	143.49	205	2762169492		polysaccharide catabolic process
m.thermophila	G2QGJ6	Uncharacterized protein	Y	GH125	GH				-2.03	-1.78	-2.34	-2.13	-2.30	-1.98	-2.28	-3.33	-3.38	-0.22	-1.18	-2.20				8	8	304.13	88	tr|G2QGJ6|G2QGJ6_MYCTT		
p.chrysosporium	2762161688	Glycoside Hydrolase Family 125 protein	Y	GH125	GH				-1.02	-1.65	-1.64				-2.96	-1.06	-0.51							5	5	19.126	22	2762161688		
a.terreus	Q0CUW9	Alpha-amylase	Y	GH13_1	GH													-0.46	-0.85	-1.71				7	7	74.503	24	tr|Q0CUW9|Q0CUW9_ASPTN	EC 3.2.1.1	carbohydrate catabolic process [GO:0016052]
m.thermophila	G2QDE9	Malate dehydrogenase	N						0.86	0.15	0.73	-0.33	1.11	0.19							-0.56		0.42	11	11	114.05	87	tr|G2QDE9|G2QDE9_MYCTT	EC 1.1.1.37	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]
p.chrysosporium	2762160012	alpha-amylase	Y	GH13_1	GH				-2.27	-2.33	-2.14	-2.49												5	5	10.112	35	2762160012	EC 3.2.1.1	carbohydrate catabolic process;carbohydrate metabolic process
a.terreus	Q0C881	Alpha-amylase	Y	GH13_1;CBM20	GH								-3.11	-2.83				0.99	-0.11	0.87	3.02	1.76		12	12	270.02	143	tr|Q0C881|Q0C881_ASPTN		carbohydrate catabolic process [GO:0016052]
a.terreus	Q0CV78	Uncharacterized protein	Y	GH131	GH				-0.47	-0.66	-0.49			-0.79	-0.15	-0.86	-0.57	1.31	1.52	1.36				8	8	273.65	168	tr|Q0CV78|Q0CV78_ASPTN		
m.thermophila	G2QDR0	Uncharacterized protein	N																		0.92	1.20	0.87	2	2	4.6032	12	tr|G2QDR0|G2QDR0_MYCTT		
m.thermophila	G2Q5V8	Uncharacterized protein	Y	GH131	GH													-1.79	-3.47					3	3	94.736	28	tr|G2Q5V8|G2Q5V8_MYCTT		
p.chrysosporium	2762167232	carbohydrate-binding module family 1 protein	Y	GH131	GH				2.74	3.18	2.40	1.94	1.74	0.69		4.00	3.05	0.38	0.30					3	3	323.31	578	2762167232		
m.thermophila	G2QEK4	Catalase	Y						1.01	-1.29	-0.83	-0.94	-0.32	0.91	1.70	2.06	0.13	4.11	3.71	3.45				29	29	323.31	320	tr|G2QEK4|G2QEK4_MYCTT	EC 1.11.1.6	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
m.thermophila	G2QEU1	Uncharacterized protein	N						1.44	1.66	1.24		-1.30					-0.32	-0.82	-0.50				19	19	248.14	141	tr|G2QEU1|G2QEU1_MYCTT		
m.thermophila	G2QEZ7	Uncharacterized protein	N																		1.59	2.07	1.78	5	5	9.4017	31	tr|G2QEZ7|G2QEZ7_MYCTT		ribosome biogenesis [GO:0042254]
m.thermophila	G2QNK3	Carbohydrate-binding module family 1 protein	Y	GH131;CBM1	GH				1.81	2.21	1.61	1.28	0.83	1.06	-0.77	0.06	-0.16	2.30	2.13	1.68				10	10	266.86	332	tr|G2QNK3|G2QNK3_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QFC6	60S ribosomal protein L13	N						-0.50	-0.77	0.02	-1.17	-0.41	-1.34										7	7	38.331	64	tr|G2QFC6|G2QFC6_MYCTT		translation [GO:0006412]
m.thermophila	G2QFG6	Peptide hydrolase	Y					MH-M28							-0.86	-0.94	-0.77							7	7	61.081	37	tr|G2QFG6|G2QFG6_MYCTT	EC 3.4.-.-	
h.jecorina	G0RDC0	Cell wall protein	Y	GH132	GH													-2.38	-0.63	-2.32				2	2	14.894	3	tr|G0RDC0|G0RDC0_HYPJQ		
m.thermophila	G2QAC0	Uncharacterized protein	Y	GH135	GH				-2.61	-2.63								-2.92	-2.73	-2.07				4	4	24.575	22	tr|G2QAC0|G2QAC0_MYCTT		
a.terreus	Q0CPK9	Glucoamylase	Y	GH15;CBM20	GH				0.71	3.09	1.16		2.45	2.78	1.08	3.03	2.20	5.93	5.39	5.61	7.12	6.46		18	18	323.31	784	tr|Q0CPK9|Q0CPK9_ASPTN	EC 3.2.1.3	polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QFL3	Uncharacterized protein	Y						2.43	2.39	0.59	1.85	1.76	2.04	1.59	1.77	1.35	1.28	1.15	1.11				19	19	323.31	260	tr|G2QFL3|G2QFL3_MYCTT		
h.jecorina	G0R866	Glucoamylase	Y	GH15;CBM20	GH				1.29	0.93	1.20	1.15	1.19	1.37	0.52	0.50	0.48	3.84	2.80	2.60	2.07	0.93	0.85	7	7	287.63	241	tr|G0R866|G0R866_HYPJQ	EC 3.2.1.3	polysaccharide catabolic process [GO:0000272]
a.terreus	Q0CM99	Uncharacterized protein	Y	GH16	GH					-1.71	-2.70			-2.16	-2.05	-2.87	-2.10	-0.47	-0.74	-0.42	1.44	1.25		7	7	282.75	123	tr|Q0CM99|Q0CM99_ASPTN		carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
m.thermophila	G2QFV7	Uncharacterized protein	N						0.82	0.35	2.16	0.17	1.37	0.45										11	11	240.91	89	tr|G2QFV7|G2QFV7_MYCTT		
a.terreus	Q0CZY4	Uncharacterized protein	Y	GH16	GH																-0.53	-1.77		3	3	15.407	14	tr|Q0CZY4|Q0CZY4_ASPTN		carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
m.thermophila	G2QFY9	Pectin lyase-like protein	Y						0.15	0.20	-0.01	2.65	2.09	2.34	0.35	0.39	0.35							11	11	323.31	188	tr|G2QFY9|G2QFY9_MYCTT	EC 4.2.2.10	
h.jecorina	G0RQ16	Predicted protein	Y	GH16	GH				1.08	1.11	1.44	0.95	1.52		-0.33	-0.30	-0.19	2.58	1.70	2.37				7	7	323.31	164	tr|G0RQ16|G0RQ16_HYPJQ		carbohydrate metabolic process [GO:0005975]
h.jecorina	G0RU13	Glycoside hydrolase family 16	Y	GH16	GH				2.11	1.81	2.25	1.25		0.86	1.34	1.19	1.00	0.60	1.37	1.05				3	3	78.369	102	tr|G0RU13|G0RU13_HYPJQ		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QHP5	Glycoside hydrolase family 16 protein	Y	GH16	GH				-0.01	0.24	-0.09		0.74	0.12						-0.84				8	8	38.281	75	tr|G2QHP5|G2QHP5_MYCTT		carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
m.thermophila	G2QLD1	Glycoside hydrolase family 16 protein	Y	GH16	GH				1.07	1.43	0.91	1.00	0.87	0.97	-1.17	-1.52	-1.84	-0.36	-0.87	-1.91				6	6	121.78	95	tr|G2QLD1|G2QLD1_MYCTT		carbohydrate metabolic process [GO:0005975]
n.crassa	Q7S222	Cell wall glucanosyltransferase Mwg1	Y	GH16	GH				1.13	1.23	0.75	-0.43	-1.19	-1.08	-0.71	0.05	-0.13							7	7	153.41	73	tr|Q7S222|Q7S222_NEUCR		carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
p.chrysosporium	2762165449	endo-beta-glucanase	Y	GH16	GH				2.42	2.53	1.76	1.93	1.67	0.44	-1.92	1.73	2.16	-0.37			-1.40	-2.24	-1.11	5	5	68.075	263	2762165449		carbohydrate metabolic process
p.chrysosporium	2762170648	Glycoside Hydrolase Family 16 protein	Y	GH16	GH				2.03	1.76	1.51	0.72	0.28	-0.41	0.37	2.12	2.43							3	3	105.19	341	2762170648		
m.thermophila	G2QGF9	40S ribosomal protein S7	N						-1.77	-2.23	-2.04	-2.19	-1.27	-1.92										4	4	18.747	26	tr|G2QGF9|G2QGF9_MYCTT		translation [GO:0006412]
m.thermophila	G2QGG5	Uncharacterized protein	Y															-4.70		-2.79				4	4	8.3381	13	tr|G2QGG5|G2QGG5_MYCTT		
m.thermophila	G2QGI6	Uncharacterized protein	N						-0.59	-1.05	-0.53	-1.14	-0.87											7	7	14.498	38	tr|G2QGI6|G2QGI6_MYCTT		
a.terreus	Q0C7P6	Probable glucan endo-1,3-beta-glucosidase eglC	Y	GH17	GH																1.35	1.21		7	7	122.78	31	sp|Q0C7P6|EGLC_ASPTN	EC 3.2.1.39	cell wall organization [GO:0071555]; polysaccharide catabolic process [GO:0000272]
m.thermophila	G2QGL4	Protease	Y					SB-S8	-0.80		0.35	1.58	1.68				-0.20	1.38	2.49	2.08	1.06	1.34	1.80	3	3	323.31	40	tr|G2QGL4|G2QGL4_MYCTT		
a.terreus	Q0D148	Uncharacterized protein	Y	GH17	GH				-1.14	0.82	-0.44		-0.05	-0.11	-0.36	-1.00	0.06	2.36	2.20	1.63				13	13	204.38	203	tr|Q0D148|Q0D148_ASPTN		carbohydrate metabolic process [GO:0005975]; fungal-type cell wall organization [GO:0031505]
h.jecorina	G0RRK9	Glycoside hydrolase family 17	Y	GH17	GH													-1.02	1.23	-0.06				6	6	98.29	56	tr|G0RRK9|G0RRK9_HYPJQ		
h.jecorina	G0RSA2	Predicted protein	Y	GH18	GH	chitin			-0.52	-0.54	0.20	-0.25	-0.38	-0.57	-1.36	-1.55	-2.11							5	5	275.48	88	tr|G0RSA2|G0RSA2_HYPJQ		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QGW5	Uncharacterized protein	Y						1.39	1.41	1.48	0.30	-0.93	-0.93										5	5	143.08	41	tr|G2QGW5|G2QGW5_MYCTT		
m.thermophila	G2QH35	General substrate transporter	N						-0.37		-1.67										-1.15			5	5	17.181	36	tr|G2QH35|G2QH35_MYCTT		transmembrane transport [GO:0055085]
m.thermophila	G2QH36	Transferase-like protein	N						1.63	0.50	0.27		-0.24											12	12	214.76	74	tr|G2QH36|G2QH36_MYCTT		
m.thermophila	G2QH37	Polyketide synthase	N						4.10	2.57	2.60	0.81	2.14	0.39										61	61	323.31	320	tr|G2QH37|G2QH37_MYCTT		metabolic process [GO:0008152]
m.thermophila	G2QH39	Epimerase/hydratase	N						0.05		-0.47													6	6	158.93	12	tr|G2QH39|G2QH39_MYCTT		
m.thermophila	G2QDD4	Glycoside hydrolase family 18 protein	Y	GH18	GH	chitin			2.60	2.59	1.92	2.36	2.25	2.61	2.39	2.43	2.15	1.79	1.57	1.99				14	14	323.31	479	tr|G2QDD4|G2QDD4_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QHD4	Glucose-regulated protein	Y						1.38	0.50	1.39	0.12	1.69	0.27								0.40	-1.04	27	26	202.14	191	tr|G2QHD4|G2QHD4_MYCTT		fungal-type cell wall beta-glucan biosynthetic process [GO:0070880]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; posttranslational protein targeting to membrane, translocation [GO:0031204]; response to unfolded protein [GO:0006986]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; ubiquitin-dependent ERAD pathway [GO:0030433]
m.thermophila	G2QHK8	3-hydroxy-3-methylglutaryl coenzyme A synthase	N						-2.32	-2.35	-1.40		-1.40											2	2	4.5396	11	tr|G2QHK8|G2QHK8_MYCTT	EC 2.3.3.10	acetyl-CoA metabolic process [GO:0006084]; ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]
p.chrysosporium	2762162558	glycoside hydrolase	Y	GH18	GH	chitin						-3.09				-2.40	-1.56							3	3	12.489	14	2762162558		carbohydrate metabolic process
p.chrysosporium	2762163413	glycoside hydrolase	Y	GH18	GH	chitin			-2.84	-3.41						-2.96	-2.17							2	2	10.178	10	2762163413		carbohydrate metabolic process
m.thermophila	G2QHM8	Uncharacterized protein	N						-0.17	-0.28	0.24	-1.00	-0.24	-0.77						-0.67				5	5	35.312	51	tr|G2QHM8|G2QHM8_MYCTT;tr|G2Q584|G2Q584_MYCTT;tr|G2QJH7|G2QJH7_MYCTT		
